,data
751,acerca cliente empresa dispositivos dicos presencia ma¡s paa­ses descripcia³n gerencia marketing latam debera colaboracia³n venta servicio cliente cla­nica penetrar cuenta clientes obtener informacia³n comprensia³n desafa­os cliente desarrollar relación directo contacto clientes socio canal analizar capacidad respuesta programa marketing incluido programa participacia³n cambio programa futuro basado conocimientos servir experto funcional programa participacia³n llamado cliente comunicar estrategia programa resultado etc servicio cliente creacia³n posicionamiento informes clientes apoyar esfuerzo general marketing producto incluidos desarrollo materiales capacitacia³n venta incluido tarjeta batalla competencia preguntas frecuente manejo objeción etc perfil buscado perfil cumplir siguiente requerimiento profesional a¡reas administrativo afín postgrado ma­nimo aa±os experiencia aa±os posición liderazgo similar industria experiencia venta promocia³n dispositivo auditivo persona altamente orientado equipo organizado contar relación interpersonales liderazgo capacidad anala­tica comunicacia³n habilidad planificacia³n ejecucia³n estrata gica ingla intermedio avanzado qua ofrecer ofrecer pertenecer empresa este constante baºsqueda oportunidad
752,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
753,dominio conversacional ingla portugua sdeseable experiencia mesa ayuda mesa servicio atencia³n incidente cnicosexcelentes relación personal comunicacia³n atencia³n cliente proactivo comunicacia³n iniciativa equipo compromiso orientacia³n cliente
754,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
755,direccia³n retail experiencia consumo masivo dispositivo electra³nicos tecnologa­a nivel ingla avanzado about our client importante compaa±a­a servicio mercadeo direccia³n retail debera job description generar estrategia mercadeo puntos venta clientes direccionar equipo cargo liderar ejecucia³n estrategia planteado canales the successful applicant perfil cumplir siguiente requerimiento ma­nimo aa±os experiencia mercadeo especialmente a¡rea trade marketing     liderado integral a¡rea liderazgo equipo experiencia consumo masivo dispositivo electra³nicos tecnologa­a nivel ingla avanzado what offer oportunidad crecimiento aprendizaje importante compaa±a­a servicio mercadeo contact angelica neira quote job ref
756,cnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccia³n interpretacia³n sa­ntesis capacidad oral respuesta a¡giles creacia³n informes capacidad aprendizaje procesos programa cnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccia³n interpretacia³n sa­ntesis capacidad oral respuesta a¡giles creacia³n informes capacidad aprendizaje procesos programa
757,contar habilidad liderazgo organizacia³n personal manejo administrativo derivar servicio
758,labores administrativo archivo almaca requerir persona condicia³n discapacidad fa­sicas preferiblementeque contar certificado perdida capacidad laboral emitido junta dica eps arlque certificado discapacidad emitido ips acuerdo res habla certificado discapacidad emitido ips persona perdida discapacidad
759,direccia³n riesgo profesional administracia³n empresa ingeniera­a industrial afín aa±os experiencia roles gestia³n riesgo sector financiero about our client cliente importante empresa sector financiero especializado industria fintech medio pago job description reportar cabeza riesgo fraude direccia³n riesgo debera gestia³n integral riesgo financiero financiero excluir plaft ciberseguridad identificar riesgo medirlos establecer control mitigarlos innovar materia metodologa­as ana¡lisis prospeccia³n cumplir efectivamente la­mites aplicar unidad negocio velar cumplir regulacia³n paa­s apetito riesgo accionista informar peria³dica comita posicia³n firma materia riesgo the successful applicant perfil cumplir siguiente requerimiento profesional administracia³n empresa ingeniera­a industrial finanzas carreras afín interesado ecosistema start aa±os experiencia roles gestia³n riesgo sector financiero banco medio pago fintechs requisito contar conocimiento regulacia³n financiero colombiano amplio experiencia reportes ente regulador valorar experiencia proceso digital experiencia manejo base dato minera­a dato what offer ofrecer pertenecer compaa±a­a fintech la­der industria etapa crecimiento acelerado fuerte plan expansia³n nivel latam contact federico vanegas quote job ref
760,conocimiento obligatorio sistema contable world oficce pra¡ctica función interacciones
761,compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
762,trabajosihay buscar ejecutivo comercial ma¡ster negociar mantener excelente relación cliente aplicar adema¡s apasionar mundo digital sigues tendencias mercado aa±os experiencia a¡esta oportunidad enva­anos hoja vida nai morante mocionsoft com escribir asunto cargo aplicas agenciadigital ejecutivocomercial ejecutivo
763,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
764,tecna³logos profesional programa formacia³n relacionado proceso gestia³nloga­stica cadena abastecimiento nfasis planeacia³n actividad mercadeo tal comoingeniero industrial ingeniera­a mercado loga­stica alimento administrador empresa contabilidad finanzas ciencia afín experiencia laboral desarrollo actividad relacionado gestia³n loga­stica ma­nimo veinticuatro mes
765,candidato programa gmt profesional a¡rea bilinga¼e about our client importante empresa colombiano job description posicia³n candidato programa gmt debera rotacia³n aa±o a¡reas compaa±a­a aprendizaje one one la­deres capacitación reto diverso responsabilidad oportunidad ocupar cargo desafiante bavaria the successful applicant perfil cumplir siguiente requerimiento profesional a¡rea bilinga¼e aa±os experiencia what offer interesante paquete salarial contact valentino ortiz quote job ref
766,direccia³n implementacia³n proyecto tic profesional administrador empresa ingenieria fin mas aa±os experiencia sector telecomunicaciones about our client importante compaa±a­a telecomunicación job description direccia³n implementacia³n proyecto tic debera gestionar indicador estrata gicos asegurar implementacia³n proyecto servicios tic asegurar implementacia³n solución dedicado asegurar control presupuestal the successful applicant perfil cumplir siguiente requerimiento profesional mas aa±os experiencia direccia³n proyecto infraestructura sector telecomunicación persona encargado administracia³n soporte gestia³n implementacia³n servicio redes telecomunicaciones capacidad coordinacia³n liderazgo equipo indicador gestia³n what offer autonoma­a tomar decisión responsabilidad nivel nacional contact natalia betancur quote job ref
767,introduccia³n a¿listo construir fuerza laboral ibm profesional reclutamiento desempea±a papel integral punto contacto principal candidato gerentes contratacia³n guia¡ndolos trava ciclo vida completo reclutamiento trabaje equipo utilizar enfoque ma¡s innovador atraccia³n abastecimiento seleccia³n entrevista oferta cierre oportunidad forma futuro ibm a¡comience camino funcia³n responsabilidad a¡asnete equipo talent acquisition transformacia³n digital empresa inminente ibm aliado camino cognitivo satisfacer demanda talento diverso requerido prosperar maºltiples la­neas negocios entregar servicio clientes buscar reclutador talentoso entusiasta aa±os experiencia reclutar industria pasia³n tecnologa­a supuesto persona rol sera¡s responsable liderar proceso reclutamiento principio nivel local regional interactuando permanentemente gerentes candidato paa­ses culturas apasionado tecnologa­a innovacia³n esta¡s buscar mejora continua visia³n ca³mo atraer talento quieres transformacia³n rol experiencia profesional cnica necesario aa±os experiencia baºsqueda reclutamiento candidato industria conocimiento experiencia usar baºsquedas booleanas linkedin recruiter habilidad reclutar candidato pasivo nivel gestia³n integral proceso seleccia³n excelente habilidad comunicacional capacidad construir relación sa³lidas nivel ingles intermedio experiencia profesional cnica preferido ingla avanzado experiencia conocimientos avanzado herramienta sistemas reclutamiento gestia³n persona incluido sistema seguimiento candidato crms base datos herramienta sourcing online hoja ca¡lculo reclutadora acerca unidad negocio equipo sede corporativo ibm chq representar variedad funciones marketing finanzas legal operaciones recursos humano ma¡s trabajar conjuntamente resolver problema ma¡s complejo mundo ayudar cliente lograr xito crear entorno colaborativos ibmistas vida ibm a¿qua importar este buscar pra³ximo reto profesional quiera involucrarse realmente cambiar mundo a¿qua oportunidad desarrollo carrera increa­bles diverso realmente descubrir pasia³n a¿esta buscar cultura apertura colaboracia³n confianza voz a¿y qua asa­ ibm podra­a pra³ximo reto profesional asnar creya³ posible impacto inclusia³n experiencia infinito hacer vida acerca ibm ibm empresa la­der plataforma nube solución cognitivo reinventa¡ndonos descanso empleador consultora­a tecnologa­a ma¡s grande mundo ma¡s empleado atender clientes paa­ses watson plataforma basado dato empresa construir solución basado industria solucionar problema mundo real declaracia³n ubicacia³n a‰ste rol contratacia³n plazo aa±o obtener ma¡s informacia³n acerca requisito ubicacia³n hablar reclutador despua enva­e solicitud ibm ibm comprometer crear ambiente diverso enorgullecer empleador promover igualdad oportunidad solicitante calificado sera¡n considerado puesto importar suraza color religia³n sexo identidad expresia³n nero orientacia³n sexual origen nacional gena tico embarazo discapacidad edad condicia³n veterano caractera­sticas ibm tambia comprometer cumplimiento pra¡cticas justas respecta ciudadana­a inmigracia³n
